"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Nance, Tommy",667297,"R",,"87.8",,,,"75.3","12.7",,
"Borucki, Ryan",621366,"L",,"94.3",,,"89.5",,"13.5",,
"Bender, Anthony",669622,"R",,"77.9",,,,,"40.6","59",
"Alvarado, José",621237,"L",,"93.3","28.7",,,,,,
"Bird, Jake",656234,"R",,"73.3","63.9",,,"85.9",,"55",
"Coulombe, Danny",543056,"L",,"75.7","34",,,"93.6",,"38.1",
"O'Brien, Riley",676617,"R",,"81.4",,,,,"23.3","68.4",
"Holmes, Clay",605280,"R",,"74.7","15.3","73.3",,"71.8",,"51.9",
"Rogers, Tyler",643511,"R",,"72.1",,,,,"61.8",,
"Mahle, Tyler",641816,"R","99.7","99","61.2",,"88.8",,"21.6",,
"Parker, Mitchell",680730,"L","99.6",,,,,"64.6","32.8",,
"Paddack, Chris",663978,"R","99.6","97.2","43.8","97.3",,"93.2",,"63.5",
"Finnegan, Kyle",640448,"R","99.6",,,,"94.1",,"25.7",,
"Stanek, Ryne",592773,"R","99.6","91.2",,,"95.4",,"20.3",,
"Lee, Dylan",669276,"L","99.5",,,"99.3",,,"27.9",,
"Dreyer, Jack",676263,"L","99.5",,,,,,"28",,
"Klassen, George",691946,"R","99.5","99.6",,"98.9",,"60.1","16.5",,
"Blubaugh, AJ",805123,"R","99.5",,"38.3","80.5",,,,"51.3",
"Springs, Jeffrey",605488,"L","99.5",,"67.2","95.9",,,"30.8","58.2",
"Petersen, Michael",656848,"R","99.4",,,"96.3",,,"30.4",,
"Myers, Tobias",668964,"R","99.4",,"70.7",,"73.9",,"38.3",,
"Yarbrough, Ryan",642232,"L","99.4","98.8","58.9","91.9",,,,"63.6",
"Urquidy, José",664353,"R","99.3","98.8",,"98.9",,"71.8",,"33.9",
"Erceg, Lucas",668674,"R","99.3","98.4",,"93.2",,,"30.9",,
"Garcia, Rico",670329,"R","99.2",,,"98.5",,"45.5","22.1",,
"Morgan, Eli",669212,"R","99.2",,,"87.1",,,"31.1",,
"Mize, Casey",663554,"R","99.1","98",,,"94.9",,"38.7",,"56.3"
"Latz, Jacob",656641,"L","99.1",,,"97.8",,"69.4","30.1",,
"Orze, Eric",679358,"R","99.1",,,,"72.9",,"43.4",,
"Ragans, Cole",666142,"L","99.1",,"44.9","99",,"93.8","18.5",,
"Kerkering, Orion",689147,"R","99.1","96.4",,,"90.5",,,"49.7",
"Williamson, Brandon",682227,"L","99","99.5","48.1","99.3",,"79.6",,"51.4",
"Pallette, Peyton",688883,"R","98.7",,,,,"87.6","40",,
"Gordon, Colton",676467,"L","98.6","98.3",,"91.7",,,"32.4","36.9",
"Márquez, Germán",608566,"R","98.6","95.4",,,,"13.6","34.8",,
"Mears, Nick",683232,"R","98.6","94.4",,"92.8",,"82.5","30.6",,
"Sheehan, Emmet",686218,"R","98.5",,,"98.7",,"86","31",,
"Bednar, David",670280,"R","98.5",,,,"74.8","61.3",,,
"Marinaccio, Ron",676760,"R","98.4",,"38.7","95.2",,,,"45.7",
"Harris, Hogan",663687,"L","98.4",,,"99",,"93.5","37.5",,
"Gausman, Kevin",592332,"R","98.4",,,,"75.9",,"18.8",,
"Quantrill, Cal",615698,"R","98.4","97.4","38.5",,"95.6",,,,
"Mattson, Isaac",676755,"R","98.3",,,"96.8",,"27.1",,,
"Cantillo, Joey",676282,"L","98.3",,,"98.7",,"93","50.4",,
"Morris, Andrew",702193,"R","98.3","97.4","58",,,"83.1",,"52.3",
"Farris, Mitch",815083,"L","98.3",,"59.9","99.2",,,"38",,
"Vesia, Alex",681911,"L","98.2",,,"99.4",,,"43",,
"Baumler, Carter",691945,"R","98.1",,,,,"71.1","43.4",,
"Wacha, Michael",608379,"R","98.1","96.5","63.1","80",,"78.8","30.8",,
"Harrison, Kyle",690986,"L","98.1",,,"94.1",,,,,"45.9"
"Nelson, Ryne",669194,"R","98.1",,"62.9",,,"64.8","31.3",,
"Peralta, Wandy",593974,"L","98","97.3",,"86.9",,,"40.9",,
"Montgomery, Mason",682254,"L","98",,,,,"42.6","21",,
"Barco, Hunter",682995,"L","98","97.7",,"98.3","95.8",,"46.1","54.7",
"Klein, Will",694361,"R","98",,,,,"86.1","21.5","48.8",
"Imanaga, Shota",684007,"L","97.9","86.4",,,"92.7","85.5",,"42.6",
"Estrada, Jeremiah",669093,"R","97.9",,,,"99.4",,"42.4",,
"Strahm, Matt",621381,"L","97.9","97.8","57.6","84.2",,,"22.2",,
"Detmers, Reid",672282,"L","97.8","96.6",,"96.6",,"90.4","36.5",,
"Sulser, Cole",642121,"R","97.7",,"49.7","80.8",,,,,
"Imai, Tatsuya",837227,"R","97.7",,,,,,"24.9",,
"Gordon, Tanner",685299,"R","97.6","99.8",,"98.6",,"31.9","33.7",,
"Hoffman, Jeff",656546,"R","97.6","98",,,"91.9",,"12.7",,
"López, Reynaldo",625643,"R","97.4",,,"93.4",,"69.1","36.1",,
"Varland, Gus",681402,"R","97.3",,,,,,"14",,
"Baker, Bryan",641329,"R","97.1",,,"89.8",,,"41.4",,
"Eovaldi, Nathan",543135,"R","97","94.5","61.4",,"85.7","84.5",,,
"Kremer, Dean",665152,"R","96.9","94.2","45.2",,"90.8","70.2",,,
"Fuentes, Didier",800311,"R","96.9",,,,"98.2",,"34",,
"Hill, Tim",657612,"L","96.9","92.8",,,,,"35.7",,
"Seabold, Connor",657756,"R","96.8",,"34.8","83.1",,,"31.7",,
"Lord, Brad",695418,"R","96.8","97.7",,"98.7",,,"18.2","36.4",
"Walker, Taijuan",592836,"R","96.7","96.1","55",,"82.4","67.1","28.4",,
"Leiter Jr., Mark",643410,"R","96.7","92.4","61.3",,"81.5","96.1",,,
"Banda, Anthony",607455,"L","96.6","95.8",,,,,"33",,
"Poulin, PJ",676571,"L","96.6","94.6",,"99",,,,"21.4",
"Brogdon, Connor",641401,"R","96.5",,"56","95.5",,,,,
"Cabrera, Edward",665795,"R","96.5","93.2",,"95.1",,"64.2","21.9",,
"Alvarado, Elvis",665660,"R","96.5","96.9",,,,,"7.3",,
"Cruz, Steven",674444,"R","96.5",,"57.4",,,,"44.8",,
"Liberatore, Matthew",669461,"L","96.4","93.8","56.3","96.9",,"90.1","24.7",,
"Franco, Jose",683742,"R","96.4",,,"97.3",,,"17.9",,
"Leasure, Jordan",673929,"R","96.3","93.7",,,,,"36.2",,
"Thielbar, Caleb",573204,"L","96.2",,,,,"73.2","45.7",,
"Nicolas, Kyle",693312,"R","96.2",,,,,"65.9","30.7",,
"Roa, Christian",685005,"R","96.1","92.3",,"89.5",,,"31.8",,
"Alcantara, Sandy",645261,"R","96.1","96.1","33.6","91.2",,,"25.8","29.5",
"Wilcox, Cole",677961,"R","96.1","96.2",,"96",,,"19.2","52.7",
"Bradley, Taj",671737,"R","96",,"40.1",,"78.2","82.3",,,
"Skenes, Paul",694973,"R","96","94.8",,"97.7","86.9","73.1",,"39.5",
